company_name,job_count,avg_salary_midpoint
"Staffigo Technical Services, LLC
5.0",58,63526.0
"Diverse Lynx
3.9",22,80773.0
"Kforce
4.1",19,63132.0
"Lorven Technologies Inc
4.0",19,78553.0
"Robert Half
3.5",14,76071.0
"Avacend, Inc.
2.5",13,74923.0
"Mondo
3.9",11,54909.0
"Apple
4.1",10,94500.0
"eTeam Inc.
3.7",10,75350.0
"Apex Systems
3.8",10,69000.0
"APN Software Services Inc.
4.1",9,75222.0
"Reliable Software Resources
4.0",9,69389.0
"TechUSA
2.7",8,74000.0
"The Bank of New York Mellon
3.2",7,79357.0
"Collabera
4.1",7,72643.0
